"","facility_id","common_name","address","zip_code","owned_leased","dept_id_for_jurisdiction","jurisdiction","gross_sq_ft","longitude","latitude","geom"
"840",1185,"Noe Valley Courts Bathrooms","780 Douglass St",94114,"Own",49,"Recreation And Parks",390,-122.439201967,37.751480566,"POINT (-122.43920196699997 37.751480566)"
"841",906,"J. P. Murphy Clubhouse","1960 09th Ave",94116,"Own",49,"Recreation And Parks",1820,-122.465246474,37.751574335,"POINT (-122.46524647400003 37.75157433499999)"
"842",1279,"Pier 22 1/2 - Maintenance / Recreation","The Embarcadero",94105,"Own",46,"Port",1974,-122.388244705,37.790409861,"POINT (-122.38824470499998 37.790409861)"
"843",1293,"Pier 96 - Entry Canopy","1000 Amador St",94124,"Own",46,"Port",10000,-122.378147776,37.743549462,"POINT (-122.37814777599999 37.743549461999976)"
"844",123,"Anglers Lodge","1232 John F Kennedy Dr",94117,"Own",49,"Recreation And Parks",2196,-122.496615212,37.768009218,"POINT (-122.496615212 37.768009217999975)"
"845",815,"Golden Gate Valley Branch Library","1801 Green St",94123,"Own",48,"Public Library",7432,-122.429023471,37.79678883,"POINT (-122.429023471 37.796788830000025)"
"846",1402,"Rhododendron Dell Maintenance Shed","364 John F Kennedy Dr",94117,"Own",49,"Recreation And Parks",192,-122.464429748,37.772018799,"POINT (-122.46442974799999 37.77201879900002)"
"847",180,"Bernal Heights Rec Center","500 Moultrie St",94110,"Own",49,"Recreation And Parks",6224,-122.416099809,37.738212725,"POINT (-122.416099809 37.73821272499998)"
"848",844,"Harding Golf Cart House","99 Harding Rd",94132,"Own",49,"Recreation And Parks",4920,-122.492826801,37.726318198,"POINT (-122.49282680099998 37.726318198)"
"849",639,"Tule Elk Park CDC","2110 Greenwich St",94123,"Own",16,"School District (Sfusd)",32000,-122.434561482,37.799363271,"POINT (-122.43456148199999 37.799363271000004)"
"850",1907,"Pier 33 - Bulkhead/Shed Building","1398 The Embarcadero",94133,"Own",46,"Port",112840,-122.404648515,37.807697669,"POINT (-122.40464851500002 37.80769766899999)"
